"","Team","Nominal_Salary","Adj_Salary","Year"
"2","Cleveland",14403000,28583905,"1990"
"3","New York",13290000,26375066,"1990"
"4","Detroit",12910000,25620926,"1990"
"5","LA Lakers",12120000,24053108,"1990"
"6","Atlanta",11761000,23340645,"1990"
"7","Dallas",11693000,23205692,"1990"
"8","Philadelphia",11640000,23100510,"1990"
"9","Milwaukee",11595000,23011204,"1990"
"10","Phoenix",11463000,22749238,"1990"
"11","Brooklyn",11410000,22644054,"1990"
"12","Boston",11256000,22338430,"1990"
"13","Portland",11215000,22257064,"1990"
"14","Golden State",11150000,22128068,"1990"
"15","San Antonio",11057000,21943500,"1990"
"16","Indiana",10981000,21792672,"1990"
"17","Utah",10695000,21225081,"1990"
"18","Oklahoma City",10590000,21016702,"1990"
"19","Houston",10500000,20838088,"1990"
"20","Charlotte",10417000,20673368,"1990"
"21","Denver",10335000,20510633,"1990"
"22","LA Clippers",10245000,20332020,"1990"
"23","Chicago",10040000,19925184,"1990"
"24","Washington",9610000,19071812,"1990"
"25","Sacramento",9605000,19061891,"1990"
"26","Miami",8510000,16888774,"1990"
"27","Minnesota",7540000,14963731,"1990"
"28","Orlando",7532000,14947853,"1990"
"30","Boston",25343000,48039325,"1991"
"31","Cleveland",16882000,32000942,"1991"
"32","Chicago",16829000,31900476,"1991"
"33","LA Lakers",15673000,29709201,"1991"
"34","Detroit",15428000,29244786,"1991"
"35","Indiana",15090000,28604086,"1991"
"36","Philadelphia",14058000,26647862,"1991"
"37","Phoenix",13593000,25766425,"1991"
"38","Oklahoma City",13308000,25226187,"1991"
"39","Houston",13274000,25161740,"1991"
"40","Dallas",13004000,24649936,"1991"
"41","LA Clippers",12976000,24596860,"1991"
"42","Atlanta",12930000,24509666,"1991"
"43","Utah",12761000,24189312,"1991"
"44","Portland",12742000,24153296,"1991"
"45","Washington",12633000,23946680,"1991"
"46","Charlotte",12625000,23931516,"1991"
"47","Brooklyn",12598000,23880337,"1991"
"48","Golden State",12500000,23694571,"1991"
"49","Sacramento",12492000,23679405,"1991"
"50","Milwaukee",12451000,23601687,"1991"
"51","New York",12399000,23503118,"1991"
"52","Orlando",12250000,23220680,"1991"
"53","Denver",11879000,22517422,"1991"
"54","San Antonio",11587000,21963918,"1991"
"55","Miami",11514000,21825542,"1991"
"56","Minnesota",10763000,20401972,"1991"
"58","Boston",25217000,46368515,"1992"
"59","Cleveland",19676000,36179836,"1992"
"60","LA Lakers",18851000,34662841,"1992"
"61","Chicago",18536000,34083626,"1992"
"62","San Antonio",18083000,33250659,"1992"
"63","Atlanta",18036000,33164237,"1992"
"64","Philadelphia",17367000,31934091,"1992"
"65","Washington",17249000,31717113,"1992"
"66","Portland",16369000,30098989,"1992"
"67","Brooklyn",16314000,29997856,"1992"
"68","Indiana",16268000,29913272,"1992"
"69","Houston",15877000,29194309,"1992"
"70","Golden State",15473000,28451442,"1992"
"71","Miami",15125000,27811547,"1992"
"72","Orlando",14970000,27526533,"1992"
"73","Utah",14517000,26693570,"1992"
"74","LA Clippers",14288000,26272487,"1992"
"75","Phoenix",14280000,26257776,"1992"
"76","Charlotte",14150000,26018735,"1992"
"77","Oklahoma City",14033000,25803599,"1992"
"78","Milwaukee",14032000,25801759,"1992"
"79","New York",14001000,25744758,"1992"
"80","Detroit",13954000,25658335,"1992"
"81","Sacramento",13953000,25656496,"1992"
"82","Denver",13776180,25331361,"1992"
"83","Minnesota",13732000,25250125,"1992"
"84","Dallas",10859000,19967311,"1992"
"86","Cleveland",23711000,42331190,"1993"
"87","Portland",23534000,42015189,"1993"
"88","LA Lakers",23478000,41915214,"1993"
"89","Atlanta",22510000,40187045,"1993"
"90","New York",22109000,39471142,"1993"
"91","Phoenix",21485000,38357113,"1993"
"92","LA Clippers",20188000,36041583,"1993"
"93","Brooklyn",20107000,35896976,"1993"
"94","Orlando",19939000,35597046,"1993"
"95","San Antonio",19316365,34485457,"1993"
"96","Golden State",19239000,34347334,"1993"
"97","Chicago",18531000,33083345,"1993"
"98","Charlotte",17952000,32049659,"1993"
"99","Boston",17881000,31922901,"1993"
"100","Miami",17811000,31797933,"1993"
"101","Sacramento",17397000,31058818,"1993"
"102","Indiana",17196000,30699973,"1993"
"103","Utah",16990000,30332202,"1993"
"104","Houston",16757000,29916229,"1993"
"105","Washington",16240000,28993225,"1993"
"106","Denver",16110000,28761141,"1993"
"107","Oklahoma City",15967000,28505845,"1993"
"108","Detroit",15826000,28254117,"1993"
"109","Minnesota",15496000,27664967,"1993"
"110","Philadelphia",15354000,27411455,"1993"
"111","Milwaukee",14889000,26581293,"1993"
"112","Dallas",14321000,25567242,"1993"
"114","LA Lakers",42068300,73277572,"1994"
"115","Orlando",29069916,50636050,"1994"
"116","Cleveland",28106000,48957036,"1994"
"117","Portland",26658000,46434808,"1994"
"118","New York",25748900,44851269,"1994"
"119","Indiana",24918500,43404821,"1994"
"120","Boston",24462000,42609654,"1994"
"121","Oklahoma City",24073500,41932940,"1994"
"122","Phoenix",23170884,40360696,"1994"
"123","Brooklyn",23121800,40275197,"1994"
"124","San Antonio",22721982,39578768,"1994"
"125","Chicago",22053129,38413709,"1994"
"126","Denver",21940500,38217525,"1994"
"127","Atlanta",21869340,38093574,"1994"
"128","Sacramento",20209000,35201476,"1994"
"129","Miami",20142000,35084772,"1994"
"130","Golden State",19797300,34484348,"1994"
"131","Philadelphia",19709510,34331429,"1994"
"132","Charlotte",19346658,33699386,"1994"
"133","Utah",18708950,32588580,"1994"
"134","Dallas",18053100,31446176,"1994"
"135","LA Clippers",17876700,31138908,"1994"
"136","Minnesota",17673260,30784540,"1994"
"137","Houston",17578600,30619652,"1994"
"138","Washington",17049750,29698467,"1994"
"139","Detroit",16339300,28460954,"1994"
"140","Milwaukee",16256960,28317527,"1994"
"142","New York",43329000,73246458,"1995"
"143","Orlando",36526560,61747122,"1995"
"144","Phoenix",36525000,61744488,"1995"
"145","LA Lakers",30073000,50837559,"1995"
"146","Cleveland",27695000,46817620,"1995"
"147","San Antonio",26553000,44887096,"1995"
"148","Oklahoma City",25852000,43702080,"1995"
"149","Houston",25632000,43330174,"1995"
"150","Philadelphia",25133000,42486631,"1995"
"151","Denver",24553000,41506152,"1995"
"152","Sacramento",24391000,41232297,"1995"
"153","Detroit",23970000,40520610,"1995"
"154","Portland",23926000,40446229,"1995"
"155","Indiana",23909000,40417489,"1995"
"156","Chicago",23512000,39746373,"1995"
"157","Charlotte",23084000,39022852,"1995"
"158","Milwaukee",23011000,38899448,"1995"
"159","Golden State",22877000,38672924,"1995"
"160","Minnesota",22642000,38275665,"1995"
"161","Brooklyn",22580000,38170853,"1995"
"162","Utah",22451000,37952784,"1995"
"163","Atlanta",22227000,37574117,"1995"
"164","Washington",22224000,37569045,"1995"
"165","Miami",22087000,37337450,"1995"
"166","Dallas",21753000,36772833,"1995"
"167","LA Clippers",21165000,35778838,"1995"
"168","Boston",20219000,34179649,"1995"
"169","Memphis",18413000,31126655,"1995"
"170","Toronto",17955000,30352420,"1995"
"172","Chicago",58270000,95863626,"1996"
"173","Orlando",40149100,66051793,"1996"
"174","Indiana",39480000,64951017,"1996"
"175","Phoenix",36140000,59456173,"1996"
"176","Washington",34940000,57481977,"1996"
"177","Golden State",31087000,51143164,"1996"
"178","San Antonio",30785500,50647150,"1996"
"179","Oklahoma City",30301500,49850891,"1996"
"180","LA Lakers",28838500,47444018,"1996"
"181","Sacramento",27820200,45768748,"1996"
"182","Detroit",26848500,44170146,"1996"
"183","Houston",26275000,43226643,"1996"
"184","Dallas",26107500,42951076,"1996"
"185","New York",25923500,42648370,"1996"
"186","Boston",25853500,42533206,"1996"
"187","Atlanta",25806100,42455225,"1996"
"188","Brooklyn",25426600,41830889,"1996"
"189","Utah",25267000,41568318,"1996"
"190","Portland",24903500,40970303,"1996"
"191","Milwaukee",24222500,39849949,"1996"
"192","Minnesota",24100500,39649235,"1996"
"193","Philadelphia",23669500,38940172,"1996"
"194","LA Clippers",23336500,38392332,"1996"
"195","Miami",22421000,36886184,"1996"
"196","Denver",21243300,34948679,"1996"
"197","Charlotte",20975500,34508101,"1996"
"198","Cleveland",18867500,31040100,"1996"
"199","Toronto",18633900,30655791,"1996"
"200","Memphis",15978000,26286403,"1996"
"202","Chicago",61330670,98632947,"1997"
"203","New York",53974881,86803252,"1997"
"204","Orlando",43954299,70687990,"1997"
"205","Washington",40718075,65483447,"1997"
"206","Indiana",39162273,62981380,"1997"
"207","San Antonio",38846163,62473007,"1997"
"208","Oklahoma City",37592175,60456323,"1997"
"209","Phoenix",36937876,59404069,"1997"
"210","LA Lakers",36304583,58385598,"1997"
"211","Miami",34641186,55710494,"1997"
"212","Golden State",32856469,52840288,"1997"
"213","Philadelphia",31420520,50530972,"1997"
"214","Atlanta",30133827,48461692,"1997"
"215","Sacramento",30046350,48321007,"1997"
"216","Utah",28505442,45842898,"1997"
"217","Brooklyn",28504567,45841487,"1997"
"218","Houston",28086350,45168908,"1997"
"219","Minnesota",27787780,44688740,"1997"
"220","Portland",27786719,44687034,"1997"
"221","Dallas",27268948,43854348,"1997"
"222","Charlotte",27006013,43431490,"1997"
"223","Boston",26800500,43100980,"1997"
"224","Cleveland",26677290,42902831,"1997"
"225","Denver",26518960,42648201,"1997"
"226","Milwaukee",25919828,41684670,"1997"
"227","Memphis",25637110,41229998,"1997"
"228","Detroit",24876625,40006975,"1997"
"229","Toronto",24748905,39801574,"1997"
"230","LA Clippers",24493625,39391029,"1997"
"232","New York",59945400,94808240,"1998"
"233","Portland",54725500,86552568,"1998"
"234","Orlando",46118000,72939146,"1998"
"235","Indiana",45401500,71805947,"1998"
"236","Miami",44594000,70528825,"1998"
"237","Brooklyn",43735000,69170249,"1998"
"238","San Antonio",43681143,69085072,"1998"
"239","LA Lakers",41872000,66223771,"1998"
"240","Philadelphia",41509920,65651113,"1998"
"241","Atlanta",40954940,64773371,"1998"
"242","Phoenix",36101500,57097283,"1998"
"243","Dallas",35565568,56249666,"1998"
"244","Detroit",34699620,54880102,"1998"
"245","Toronto",34368500,54356410,"1998"
"246","Washington",34018500,53802860,"1998"
"247","Milwaukee",33703240,53304252,"1998"
"248","Memphis",33635800,53197590,"1998"
"249","Minnesota",33107230,52361618,"1998"
"250","Sacramento",32267000,51032726,"1998"
"251","Boston",32258856,51019847,"1998"
"252","Golden State",30985000,49005147,"1998"
"253","Charlotte",30452000,48162166,"1998"
"254","Oklahoma City",30413082,48100614,"1998"
"255","Utah",30298560,47919491,"1998"
"256","Houston",30297100,47917183,"1998"
"257","Denver",29392200,46486011,"1998"
"258","Cleveland",28714000,45413386,"1998"
"259","Chicago",28640500,45297138,"1998"
"260","LA Clippers",28417580,44944576,"1998"
"262","Portland",73898705,114626133,"1999"
"263","New York",72288001,112127728,"1999"
"264","LA Lakers",55018533,85340621,"1999"
"265","Indiana",54988605,85294196,"1999"
"266","Brooklyn",53245461,82590364,"1999"
"267","Washington",53194441,82511226,"1999"
"268","Miami",52496573,81428740,"1999"
"269","Houston",52269367,81076318,"1999"
"270","Utah",50348426,78096701,"1999"
"271","Cleveland",46547966,72201712,"1999"
"272","Phoenix",46544037,72195616,"1999"
"273","Boston",46152875,71588876,"1999"
"274","Milwaukee",44680197,69304569,"1999"
"275","Atlanta",44169202,68511952,"1999"
"276","Philadelphia",43890593,68079794,"1999"
"277","Minnesota",42642272,66143493,"1999"
"278","San Antonio",42529801,65969036,"1999"
"279","Detroit",42141801,65367200,"1999"
"280","Orlando",41586801,64506322,"1999"
"281","Denver",40677095,63095255,"1999"
"282","Sacramento",40113125,62220470,"1999"
"283","Dallas",40014500,62067488,"1999"
"284","Charlotte",38619012,59902913,"1999"
"285","Oklahoma City",38258910,59344348,"1999"
"286","Memphis",37432688,58062776,"1999"
"287","Golden State",36133518,56047597,"1999"
"288","Toronto",34730320,53871064,"1999"
"289","Chicago",27032368,41930575,"1999"
"290","LA Clippers",22489343,34883777,"1999"
"292","Portland",87395140,130685637,"2000"
"293","New York",74007738,110666888,"2000"
"294","Miami",73472329,109866267,"2000"
"295","Brooklyn",68977578,103145079,"2000"
"296","Washington",59085969,88353738,"2000"
"297","LA Lakers",58968213,88177651,"2000"
"298","Milwaukee",57819318,86459659,"2000"
"299","San Antonio",57215938,85557399,"2000"
"300","Indiana",55086140,82372624,"2000"
"301","Phoenix",53906347,80608430,"2000"
"302","Utah",53893860,80589757,"2000"
"303","Dallas",52274842,78168771,"2000"
"304","Denver",52189220,78040738,"2000"
"305","Oklahoma City",51538658,77067926,"2000"
"306","Boston",51478707,76978277,"2000"
"307","Philadelphia",51085458,76390235,"2000"
"308","Cleveland",49780549,74438948,"2000"
"309","Houston",49283309,73695406,"2000"
"310","Memphis",48899840,73121988,"2000"
"311","Minnesota",47488500,71011552,"2000"
"312","Charlotte",46441558,69446013,"2000"
"313","Sacramento",46266289,69183929,"2000"
"314","Golden State",42363018,63347202,"2000"
"315","Detroit",40475338,60524473,"2000"
"316","Atlanta",39297129,58762651,"2000"
"317","Toronto",38313749,57292160,"2000"
"318","Orlando",37459860,56015304,"2000"
"319","Chicago",29691907,44399556,"2000"
"320","LA Clippers",29606189,44271376,"2000"
"322","New York",85993039,124543515,"2001"
"323","Portland",84292850,122081136,"2001"
"324","Brooklyn",75193712,108902877,"2001"
"325","Philadelphia",58073366,84107518,"2001"
"326","Dallas",57960080,83943444,"2001"
"327","Phoenix",56596369,81968386,"2001"
"328","Milwaukee",56224266,81429470,"2001"
"329","Minnesota",55093782,79792192,"2001"
"330","Sacramento",54921012,79541971,"2001"
"331","Washington",54776087,79332075,"2001"
"332","Denver",54460475,78874976,"2001"
"333","LA Lakers",54262017,78587549,"2001"
"334","Indiana",53398621,77337095,"2001"
"335","Miami",53351186,77268395,"2001"
"336","Toronto",52657161,76263240,"2001"
"337","Utah",52642362,76241809,"2001"
"338","Atlanta",51525207,74623833,"2001"
"339","Memphis",50920631,73748227,"2001"
"340","Charlotte",49999445,72414075,"2001"
"341","Houston",49168169,71210143,"2001"
"342","Golden State",47681152,69056499,"2001"
"343","Boston",47515677,68816840,"2001"
"344","Orlando",45984001,66598516,"2001"
"345","San Antonio",45844814,66396932,"2001"
"346","Cleveland",45649974,66114748,"2001"
"347","Oklahoma City",45556733,65979707,"2001"
"348","Chicago",42592857,61687130,"2001"
"349","Detroit",42417677,61433420,"2001"
"350","LA Clippers",33849932,49024771,"2001"
"352","Portland",105595657,151318745,"2002"
"353","New York",93452379,133917407,"2002"
"354","Dallas",72940316,104523585,"2002"
"355","Sacramento",70416596,100907091,"2002"
"356","Philadelphia",64822487,92890723,"2002"
"357","LA Lakers",63151182,90495743,"2002"
"358","Memphis",61009172,87426238,"2002"
"359","Brooklyn",60412919,86571807,"2002"
"360","Minnesota",59518801,85290533,"2002"
"361","Milwaukee",57995152,83107141,"2002"
"362","Miami",57378326,82223230,"2002"
"363","Atlanta",55711549,79834735,"2002"
"364","Toronto",55408207,79400043,"2002"
"365","Phoenix",55225080,79137624,"2002"
"366","Indiana",53472323,76625920,"2002"
"367","San Antonio",53182559,76210688,"2002"
"368","Oklahoma City",53167479,76189081,"2002"
"369","Boston",52548195,75301645,"2002"
"370","Utah",50934629,72989400,"2002"
"371","Orlando",50435346,72273927,"2002"
"372","Houston",50181239,71909791,"2002"
"373","Cleveland",49610448,71091848,"2002"
"374","Denver",49109209,70373566,"2002"
"375","Detroit",47777888,68465785,"2002"
"376","Golden State",47737715,68408215,"2002"
"377","Washington",46691190,66908545,"2002"
"378","Chicago",44531095,63813125,"2002"
"379","New Orleans",44458882,63709647,"2002"
"380","LA Clippers",42955777,61555695,"2002"
"382","New York",89444820,125523161,"2003"
"383","Portland",82956768,116418097,"2003"
"384","Dallas",79536723,111618548,"2003"
"385","Minnesota",71272042,100020234,"2003"
"386","Sacramento",68372826,95951595,"2003"
"387","Phoenix",66931770,93929275,"2003"
"388","Atlanta",64497340,90512897,"2003"
"389","LA Lakers",64123085,89987682,"2003"
"390","Brooklyn",63697123,89389904,"2003"
"391","Toronto",63033243,88458245,"2003"
"392","Philadelphia",60411079,84778406,"2003"
"393","Boston",60185915,84462422,"2003"
"394","Indiana",58156236,81614052,"2003"
"395","Memphis",57378323,80522362,"2003"
"396","Chicago",55489797,77872081,"2003"
"397","Houston",55401430,77748072,"2003"
"398","Detroit",53442834,74999460,"2003"
"399","Golden State",53376708,74906661,"2003"
"400","Milwaukee",53229826,74700533,"2003"
"401","Oklahoma City",52347476,73462280,"2003"
"402","Orlando",50588419,70993689,"2003"
"403","New Orleans",49800204,69887542,"2003"
"404","Miami",47349374,66448146,"2003"
"405","San Antonio",46464064,65205740,"2003"
"406","Cleveland",46186472,64816180,"2003"
"407","Washington",45682902,64109492,"2003"
"408","Denver",39398646,55290425,"2003"
"409","LA Clippers",39114363,54891473,"2003"
"410","Utah",34747674,48763441,"2003"
"412","New York",102567539,139386413,"2004"
"413","Dallas",91908443,124900998,"2004"
"414","Portland",83671309,113706964,"2004"
"415","Philadelphia",71951878,97780585,"2004"
"416","Minnesota",70123411,95295751,"2004"
"417","Memphis",67010830,91065838,"2004"
"418","Orlando",66445249,90297231,"2004"
"419","Indiana",66064780,89780182,"2004"
"420","LA Lakers",65059098,88413490,"2004"
"421","Boston",64577356,87758815,"2004"
"422","Sacramento",61807688,83994914,"2004"
"423","Toronto",61703775,83853697,"2004"
"424","Houston",60284303,81924676,"2004"
"425","Miami",59523529,80890805,"2004"
"426","Milwaukee",57448246,78070553,"2004"
"427","Chicago",57276129,77836650,"2004"
"428","New Orleans",56572882,76880958,"2004"
"429","Brooklyn",54983980,74721686,"2004"
"430","Golden State",54943723,74666976,"2004"
"431","Detroit",54762481,74420675,"2004"
"432","Oklahoma City",53821301,73141638,"2004"
"433","Washington",49797050,67672794,"2004"
"434","Cleveland",49175274,66827816,"2004"
"435","San Antonio",47504123,64556769,"2004"
"436","Denver",46101759,62650997,"2004"
"437","LA Clippers",45483265,61810481,"2004"
"438","Phoenix",44598682,60608355,"2004"
"439","Utah",43515760,59136697,"2004"
"440","Atlanta",41059616,55798865,"2004"
"441","Charlotte",23922578,32510107,"2004"
"443","New York",126631098,167841210,"2005"
"444","Dallas",98454832,130495415,"2005"
"445","Philadelphia",84807300,112406507,"2005"
"446","Indiana",78791779,104433332,"2005"
"447","Orlando",75784782,100447753,"2005"
"448","LA Lakers",72917945,96647948,"2005"
"449","Houston",69257404,91796140,"2005"
"450","Memphis",67525538,89500664,"2005"
"451","Brooklyn",66449350,88074249,"2005"
"452","San Antonio",63570274,84258224,"2005"
"453","Milwaukee",63022514,83532201,"2005"
"454","Sacramento",62811975,83253149,"2005"
"455","Toronto",62411884,82722851,"2005"
"456","Minnesota",61830186,81951849,"2005"
"457","Miami",60732452,80496874,"2005"
"458","Portland",60017964,79549869,"2005"
"459","Detroit",59619275,79021432,"2005"
"460","Utah",57372902,76044013,"2005"
"461","Chicago",57166530,75770479,"2005"
"462","Golden State",57114566,75701606,"2005"
"463","Boston",56907300,75426885,"2005"
"464","Denver",56492172,74876666,"2005"
"465","Washington",54555947,72310323,"2005"
"466","Phoenix",53626924,71078962,"2005"
"467","LA Clippers",51358645,68072509,"2005"
"468","Cleveland",51303962,68000030,"2005"
"469","Oklahoma City",49253379,65282117,"2005"
"470","Atlanta",42944553,56920182,"2005"
"471","New Orleans",41277617,54710769,"2005"
"472","Charlotte",33458932,44347612,"2005"
